source,distance (DIFF),type
ICD9 162,0.11290322580645151,negative
ICD9 162,0.10810810810810811,negative
ICD9 162,0.17412935323383083,negative
ICD9 162,0.0,negative
ICD9 162,0.14516129032258074,negative
ICD9 162,0.16666666666666674,negative
ICD9 162,0.0,negative
ICD9 162,0.030303030303030387,negative
ICD9 162,0.125,negative
ICD9 162,0.1875,negative
ICD9 162,0.11538461538461564,negative
ICD9 162,0.3333333333333335,negative
ICD9 162,0.0,negative
ICD9 162,0.034482758620689724,negative
ICD9 162,0.0,negative
ICD9 162,0.1428571428571428,negative
ICD9 162,0.0,negative
ICD9 162,0.0,negative
ICD9 162,0.07407407407407374,negative
ICD9 162,0.052631578947368585,negative
ICD9 162,0.1707317073170731,negative
ICD9 162,1.0,negative
ICD9 162,0.33333333333333326,negative
ICD9 162,0.07692307692307687,negative
ICD9 162,0.15573770491803263,negative
ICD9 162,0.0,negative
ICD9 162,0.0,negative
ICD9 162,0.11209439528023601,negative
ICD9 162,0.106951871657754,negative
ICD9 162,0.109375,negative
ICD9 162,0.106951871657754,negative
ICD9 162,0.1063829787234043,negative
ICD9 162,0.08287292817679548,negative
ICD9 162,0.08379888268156388,negative
ICD9 162,0.08522727272727249,negative
