"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0019915","lipid storage","1/1","94/18870",0.00498145204027556,0.0132631160572337,NA,"3553",1
"BP","GO:0051781","positive regulation of cell division","1/1","94/18870",0.00498145204027556,0.0132631160572337,NA,"3553",1
"BP","GO:0050688","regulation of defense response to virus","1/1","97/18870",0.00514043455219937,0.0135997088513029,NA,"3553",1
"BP","GO:0002709","regulation of T cell mediated immunity","1/1","99/18870",0.00524642289348165,0.0135997088513029,NA,"3553",1
"BP","GO:2001237","negative regulation of extrinsic apoptotic signaling pathway","1/1","99/18870",0.00524642289348165,0.0135997088513029,NA,"3553",1
"BP","GO:0019217","regulation of fatty acid metabolic process","1/1","100/18870",0.00529941706412274,0.0135997088513029,NA,"3553",1
"BP","GO:0050764","regulation of phagocytosis","1/1","100/18870",0.00529941706412274,0.0135997088513029,NA,"3553",1
"BP","GO:0071901","negative regulation of protein serine/threonine kinase activity","1/1","100/18870",0.00529941706412274,0.0135997088513029,NA,"3553",1
"BP","GO:0032755","positive regulation of interleukin-6 production","1/1","101/18870",0.00535241123476415,0.0136534562036499,NA,"3553",1
"BP","GO:0032677","regulation of interleukin-8 production","1/1","103/18870",0.00545839957604655,0.0137815654231519,NA,"3553",1
"BP","GO:0032637","interleukin-8 production","1/1","104/18870",0.00551139374668785,0.0137815654231519,NA,"3553",1
"BP","GO:0032642","regulation of chemokine production","1/1","104/18870",0.00551139374668785,0.0137815654231519,NA,"3553",1
"BP","GO:0032602","chemokine production","1/1","105/18870",0.00556438791732894,0.0137815654231519,NA,"3553",1
"BP","GO:0042102","positive regulation of T cell proliferation","1/1","105/18870",0.00556438791732894,0.0137815654231519,NA,"3553",1
"BP","GO:0002526","acute inflammatory response","1/1","107/18870",0.00567037625861166,0.0138826453228079,NA,"3553",1
"BP","GO:0030593","neutrophil chemotaxis","1/1","107/18870",0.00567037625861166,0.0138826453228079,NA,"3553",1
"BP","GO:0046822","regulation of nucleocytoplasmic transport","1/1","109/18870",0.00577636459989406,0.0139693804952172,NA,"3553",1
"BP","GO:0014013","regulation of gliogenesis","1/1","110/18870",0.00582935877053514,0.0139693804952172,NA,"3553",1
"BP","GO:0010717","regulation of epithelial to mesenchymal transition","1/1","111/18870",0.00588235294117645,0.0139693804952172,NA,"3553",1
"BP","GO:0071347","cellular response to interleukin-1","1/1","111/18870",0.00588235294117645,0.0139693804952172,NA,"3553",1
"BP","GO:1905954","positive regulation of lipid localization","1/1","111/18870",0.00588235294117645,0.0139693804952172,NA,"3553",1
"BP","GO:0030203","glycosaminoglycan metabolic process","1/1","112/18870",0.00593534711181765,0.0139693804952172,NA,"3553",1
"BP","GO:0045833","negative regulation of lipid metabolic process","1/1","112/18870",0.00593534711181765,0.0139693804952172,NA,"3553",1
"BP","GO:1901222","regulation of non-canonical NF-kappaB signal transduction","1/1","113/18870",0.00598834128245895,0.0139699979536901,NA,"3553",1
"BP","GO:0033559","unsaturated fatty acid metabolic process","1/1","115/18870",0.00609432962374135,0.0139699979536901,NA,"3553",1
"BP","GO:0015908","fatty acid transport","1/1","116/18870",0.00614732379438243,0.0139699979536901,NA,"3553",1
"BP","GO:1904659","glucose transmembrane transport","1/1","117/18870",0.00620031796502385,0.0139699979536901,NA,"3553",1
"BP","GO:0007088","regulation of mitotic nuclear division","1/1","118/18870",0.00625331213566505,0.0139699979536901,NA,"3553",1
"BP","GO:0043500","muscle adaptation","1/1","118/18870",0.00625331213566505,0.0139699979536901,NA,"3553",1
"BP","GO:0050830","defense response to Gram-positive bacterium","1/1","118/18870",0.00625331213566505,0.0139699979536901,NA,"3553",1
"BP","GO:0032609","type II interferon production","1/1","119/18870",0.00630630630630624,0.0139699979536901,NA,"3553",1
"BP","GO:0032649","regulation of type II interferon production","1/1","119/18870",0.00630630630630624,0.0139699979536901,NA,"3553",1
"BP","GO:0002718","regulation of cytokine production involved in immune response","1/1","120/18870",0.00635930047694755,0.0139699979536901,NA,"3553",1
"BP","GO:0008645","hexose transmembrane transport","1/1","120/18870",0.00635930047694755,0.0139699979536901,NA,"3553",1
"BP","GO:0006022","aminoglycan metabolic process","1/1","121/18870",0.00641229464758863,0.0139699979536901,NA,"3553",1
"BP","GO:0002367","cytokine production involved in immune response","1/1","122/18870",0.00646528881823005,0.0139699979536901,NA,"3553",1
"BP","GO:0021782","glial cell development","1/1","122/18870",0.00646528881823005,0.0139699979536901,NA,"3553",1
"BP","GO:0032874","positive regulation of stress-activated MAPK cascade","1/1","122/18870",0.00646528881823005,0.0139699979536901,NA,"3553",1
"BP","GO:0015749","monosaccharide transmembrane transport","1/1","123/18870",0.00651828298887103,0.0139699979536901,NA,"3553",1
"BP","GO:0002824","positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","1/1","124/18870",0.00657127715951233,0.0139699979536901,NA,"3553",1
"BP","GO:0045446","endothelial cell differentiation","1/1","124/18870",0.00657127715951233,0.0139699979536901,NA,"3553",1
"BP","GO:0070304","positive regulation of stress-activated protein kinase signaling cascade","1/1","124/18870",0.00657127715951233,0.0139699979536901,NA,"3553",1
"BP","GO:0006690","icosanoid metabolic process","1/1","125/18870",0.00662427133015353,0.0139699979536901,NA,"3553",1
"BP","GO:0008286","insulin receptor signaling pathway","1/1","125/18870",0.00662427133015353,0.0139699979536901,NA,"3553",1
"BP","GO:0046683","response to organophosphorus","1/1","127/18870",0.00673025967143615,0.0140421874168,NA,"3553",1
"BP","GO:0002456","T cell mediated immunity","1/1","129/18870",0.00683624801271843,0.0140421874168,NA,"3553",1
"BP","GO:0002708","positive regulation of lymphocyte mediated immunity","1/1","129/18870",0.00683624801271843,0.0140421874168,NA,"3553",1
"BP","GO:0051224","negative regulation of protein transport","1/1","129/18870",0.00683624801271843,0.0140421874168,NA,"3553",1
"BP","GO:1990266","neutrophil migration","1/1","129/18870",0.00683624801271843,0.0140421874168,NA,"3553",1
"BP","GO:0002821","positive regulation of adaptive immune response","1/1","130/18870",0.00688924218335962,0.0140421874168,NA,"3553",1
"BP","GO:0071621","granulocyte chemotaxis","1/1","130/18870",0.00688924218335962,0.0140421874168,NA,"3553",1
"BP","GO:0046328","regulation of JNK cascade","1/1","132/18870",0.00699523052464224,0.01419032477856,NA,"3553",1
"BP","GO:1904950","negative regulation of establishment of protein localization","1/1","133/18870",0.00704822469528343,0.0142300650246007,NA,"3553",1
"BP","GO:0002702","positive regulation of production of molecular mediator of immune response","1/1","136/18870",0.00720720720720691,0.0144144144144138,NA,"3553",1
"BP","GO:0034219","carbohydrate transmembrane transport","1/1","136/18870",0.00720720720720691,0.0144144144144138,NA,"3553",1
"BP","GO:0070555","response to interleukin-1","1/1","140/18870",0.00741918388977214,0.0147003364513625,NA,"3553",1
"BP","GO:0071902","positive regulation of protein serine/threonine kinase activity","1/1","140/18870",0.00741918388977214,0.0147003364513625,NA,"3553",1
"BP","GO:0043405","regulation of MAP kinase activity","1/1","142/18870",0.00752517223105453,0.0147452699122017,NA,"3553",1
"BP","GO:0003158","endothelium development","1/1","143/18870",0.00757816640169584,0.0147452699122017,NA,"3553",1
"BP","GO:0014074","response to purine-containing compound","1/1","143/18870",0.00757816640169584,0.0147452699122017,NA,"3553",1
"BP","GO:0010565","regulation of cellular ketone metabolic process","1/1","144/18870",0.0076311605723367,0.0147452699122017,NA,"3553",1
"BP","GO:0034763","negative regulation of transmembrane transport","1/1","144/18870",0.0076311605723367,0.0147452699122017,NA,"3553",1
"BP","GO:0045834","positive regulation of lipid metabolic process","1/1","145/18870",0.00768415474297834,0.0147452699122017,NA,"3553",1
"BP","GO:0050671","positive regulation of lymphocyte proliferation","1/1","145/18870",0.00768415474297834,0.0147452699122017,NA,"3553",1
"BP","GO:0051783","regulation of nuclear division","1/1","146/18870",0.00773714891361943,0.0147803831264658,NA,"3553",1
"BP","GO:0062013","positive regulation of small molecule metabolic process","1/1","147/18870",0.00779014308426063,0.0147839666840187,NA,"3553",1
